Excerpt Name,UUID (excerpt-id),Category
"[ALL] Fundamentals - Key dates, Stack model","a698f73f-c913-4350-988e-629181026bd8","General"
"[ALL] Fundamentals - Venues, Performers","258b1fb5-5bf0-4895-96b2-8da06fe95d81","General"
"[GOLF] Fundamentals - Venues, Performers","a66e17ee-e1c1-4cfe-961b-20864945b3e3","General"
"[ALL] Fundamentals - Infrastructure, Tenant ID, Weblink","5dd0d2e6-a90f-4e85-9c56-041b4f5d00d1","General"
"[ALL] Base platform utilization [some eSRO, no tSRO, all Native AC]","b95e7e67-1cf7-4d23-b57f-c949149d3d12","General"
"[ALL] Base platform utilization [no eSRO, no tSRO, all Native AC]","a95dab75-3b16-4501-8d24-18d57699eafa","General"
"[ALL] Base platform utilization [no eSRO, no tSRO, some Native AC]","e3ef9319-7c7a-414d-839c-e3ab09adf65f","General"
"[ALL] Base platform utilization [no eSRO, no tSRO, no Native AC]","ac23dc1f-3d59-4dfb-96d5-5eb2445cc08e","General"
"[ALL] Organization units","41ce3c90-6665-4330-9fe8-ebd6d53e675b","General"
"&amp;lsqb;ALL&amp;rsqb; Users &amp;lsqb;No client SSO&amp;rsqb;","dbd13acb-7558-4161-a59b-975816a7d52b","General"
"&amp;lsqb;ALL&amp;rsqb; Users &amp;lsqb;With client SSO&amp;rsqb;","2b818cf6-14cc-4849-ab50-60ce36db7194","General"
"[ALL] Profiles, Security Tokens, and User Roles","feba88db-c0aa-4241-9613-92b69636d375","General"
"[GOLF] Translator (Captions)","c2f78b77-09a6-48b8-8d23-0731aef737ee","General"
"&amp;lsqb;MLS&amp;rsqb; &amp;lsqb;NWSL&amp;rsqb; &amp;lsqb;USL&amp;rsqb; Translator &amp;lpar;Captions&amp;rpar;","2aad3300-debc-48e7-aefb-4ec2ade71d0e","General"
"[NBA] Translator (Captions)","f64cf589-72a4-4d4b-890a-98bf8236536e","General"
"[NFL] Translator (Captions)","fc3dd22e-3ee1-429a-8e4e-0cb79cc902ca","General"
"&amp;lsqb;NHL&amp;rsqb; Translator &amp;lpar;Captions&amp;rpar;","cdb11fd7-3e1d-4d51-887a-8c45701d1293","General"
"&amp;lsqb;HORSE RACING&amp;rsqb; Translator &amp;lpar;Captions&amp;rpar;","bf1eb6ae-8e28-4955-bdd6-90055567a212","General"
"&amp;lsqb;INTRO&amp;rsqb; Products &amp;lsqb;Overview&amp;rsqb;","16f7a05c-45eb-422b-b8d8-063c94314e86","General"
"[ALL] Single-event tickets","0e56dc61-91b3-4d61-a160-5dcae34b5919","General"
"[ALL] Third-party events","dead00d7-f0ea-4704-a7f2-6c0be733d1d5","General"
"[ALL] Season tickets","3565cfb1-9483-41f6-930b-85591dbf67d6","General"
"&amp;lsqb;NFL&amp;rsqb; Season tickets","19417ed6-c92c-4dc3-a298-ca9887639588","General"
"&amp;lsqb;NHL&amp;rsqb; Season tickets","d9685194-b97b-4f64-8252-57c579e93456","General"
"[MLS] Full season tickets","62f6068d-5460-4931-adb6-fb1de3b1c7ce","General"
"[NBA] Full season tickets","f2c85898-d7b5-4280-bd78-e038de4169af","General"
